71,189,cX;c0;c1;c2;c2A;c2B;c2C;c3;88
71,190,0;1;2;3;4;4A;4B;4C;99;88
71,191,cX;c0;pIS;c1;c2;c3;c4;c4A;c4B;88
71,192,c0;c1;p1;88
71,193,pX;p0;p1;p2;p2A;p2B;p2C;p3;c0;88
71,194,0;1;2;3;4;4A;4B;4C;99;88
71,195,pX;p0;pIS;p1;p2;p3;p4;p4A;p4B;88
103,160,000-980;988;997-999
103,184,00-90;95;97-99
103,186,0;2-7;9
103,187,0;2-7;9
103,188,c0;c1;p1;88
103,189,cX;c0;c1;88
103,190,1-4;99;88
103,191,cX;c0;c1;c1A;c1B;c2;c3;c4;88
103,192,c0;c1;p1;88
103,193,pX;p0;p1;c0;88
103,194,1-4;99;88
103,195,pX;p0;p1;p1A;p1B;p2;p3;p4;88
6,185,100;110-112;120-122;200;210-212;220;300;310;320;400;410;420;987;988;999
6,167,000;010;988;998;999
6,173,010;020;030;040;988;998;999
6,174,000;010;988;998;999
6,175,010;020;030;040;988;998;999
6,176,000;010;988;998;999
6,177,010;020;030;040;988;998;999
6,178,000;010;988;998;999
6,179,010;020;030;040;988;998;999
6,184,00-90;95;97-99
6,186,0;2-7;9
6,187,0;2-7;9
6,188,c0;c1;p1;88
6,189,cX;c0;c1;88
6,190,0  ;1  ;1A ;1A1;1A2;1B ;1B1;1B2;2  ;2A ;2A1;2A2;2B ;3  ;3A;3B;4A;4B;99;88
6,191,cX;c0;pIS;c1;c1A;c1A1;c1A2;c1B;c1B1;c1B2;c2;c2A;c2A1;c2A2;c2B;c3;c3A;c3B;c4;88
6,192,c0;c1;p1;88
6,193,pX;p0;p1;c0;88
6,194,0  ;1  ;1A ;1A1;1A2;1B ;1B1;1B2;2  ;2A ;2A1;2A2;2B ;3  ;3A;3B;4A;4B;99;88
6,195,pX;p0;pIS;p1;p1A;p1A1;p1A2;p1B;p1B1;p1B2;p2;p2A;p2A1;p2A2;p2B;p3;p3A;p3B;p4;88
34,185,010;020;030;040;988;998;999
34,167,000-100;200;300;400;988;997-999
34,173,000;010;020;030;040;050;060;070;080;090;100;988;999
34,174,010;020;988;998;999
34,175,010;020;988;997-999
34,176,010;020;988;997-999
34,177,000;010;020-022;030;040;055;090;988;999
34,178,001;002;988;999
4,185,010;020;030;988;997-999
4,157,010;020;030;988;997-999
4,173,000-980;988;997-999
4,174,000-081;988;990;998;999
4,175,000;010;020;030;988;990;998;999
4,176,000-981;988;990-996;998;999
4,177,020;040;050;060;988;997-999
4,178,000;010;988;998;999
4,179,010;020;988;997-999
4,184,00-90;95;97-99
4,186,0;2-7;9
4,187,0;2-7;9
4,188,c0;c1;c1A;c1B;p1;p1A;p1B;88
4,189,cX;c0;c1;c1A;c1B;c1C;c2;c2A;c2B;88
4,190,0 ;1 ;2 ;2A;2B;2C;3 ;3A;3B;3C;4 ;4A;4B;99;88
4,191,cX;c0;pIS;c1;c2;c3;c4;c4A;c4B;88
4,192,c0;c1;c1A;c1B;p1;p1A;p1B;88
4,193,pX;p0;p1;p1A;p1B;p1C;p2;p2A;p2B;c0;88
4,194,0 ;1 ;2 ;2A;2B;2C;3 ;3A;3B;3C;4 ;4A;4B;99;88
4,195,pX;p0;pIS;p1;p2;p3;p4;p4A;p4B;88
128,185,000-980;988;990-992;999
128,167,000-100;110;120;130;140;150;988;991-993;997-999
128,184,00-90;95;97-99
128,186,0;2-7;9
128,187,0;2-7;9
128,188,c0;c1;p1;88
128,189,cX;c0;c1;88
128,190,88
128,191,cX;c0;pIS;c1;c2;c3;c4;c4A;c4B;c4C;c4D;88
128,192,c0;c1;p1;88
128,193,pX;p0;p1;c0;88
128,194,88
128,195,pX;p0;pIS;p1;p2;p3;p4;p4A;p4B;p4C;p4D;88
102,185,100;120;130;140;200;210;220;300;310;320;330;402;405;410;987;988;999
102,167,000;010;020;988;997-999
102,173,000-090;095;097;098;988;999
102,174,000-090;095-098;988;999
102,175,000-090;095;097;098;988;999
102,176,000-090;095-098;988;999
102,177,001-003;987;988;999
102,178,000;010;988;998;999
102,184,00-90;95;97-99
102,186,0;2-7;9
102,187,0;2-7;9
102,188,c0;c1;p1;88
102,189,cX;c0;c1;88
102,190,1 ;1A;1B;1C;2 ;2A;2B;3 ;3A;3B;3C;4A;4B;99;88
